date,timepoint,coral_ID,treatment_temp,polyp_count,BW_1,BW_2,BW_3,temp,pH,DO,,,,,,,,,,,,,,,,,,,,,,,
6/24/22,start,MAB,18,15,0.94,0.94,0.94,21.5,8.04,80.8,,,,,,,,,,,,,,,,,,,,,,,
6/24/22,start,RIG,18,32,7.46,7.46,7.46,21.5,8.04,80.8,,,,,,,,,,,,,,,,,,,,,,,
6/24/22,start,MAC,18,56,8.81,8.81,8.81,21.5,8.04,80.8,,,,,,,,,,,,,,,,,,,,,,,
6/24/22,start,NCA,18,36,2.84,2.84,2.84,21.4,8.12,75.9,,,,,,,,,,,,,,,,,,,,,,,
6/24/22,start,NCB,18,16,0.46,0.46,0.46,21.4,8.12,75.9,,,,,,,,,,,,,,,,,,,,,,,
6/24/22,start,RIC,18,35,6.16,6.16,6.16,21.4,8.12,75.9,,,,,,,,,,,,,,,,,,,,,,,
6/24/22,start,NCC,18,14,0.5,0.5,0.5,21.4,8.12,75.9,,,,,,,,,,,,,,,,,,,,,,,
8/1/22,end,NCAB,32,18,0.58,0.58,0.58,19.85,7.84,61.7,,,,,,,,,,,,,,,,,,,,,,,
8/1/22,end,RIAB,32,27,4.24,4.24,4.24,19.85,7.84,61.7,,,,,,,,,,,,,,,,,,,,,,,
8/1/22,end,NCAA,32,17,0.64,0.64,0.64,19.85,7.84,61.7,,,,,,,,,,,,,,,,,,,,,,,
8/1/22,end,MAZ,32,37,5.74,5.74,5.74,19.85,7.84,61.7,,,,,,,,,,,,,,,,,,,,,,,
8/2/22,end,NCZ,32,24,0.63,0.65,0.64,21.49,7.9,45.2,,,,,,,,,,,,,,,,,,,,,,,
8/2/22,end,MAY,32,17,1.11,1.12,1.11,21.49,7.9,45.2,,,,,,,,,,,,,,,,,,,,,,,
8/2/22,end,NCX,32,14,0.57,0.57,0.57,21.49,7.9,45.2,,,,,,,,,,,,,,,,,,,,,,,
8/2/22,end,RIY,32,34,3.1,3.11,3.13,21.49,7.9,45.2,,,,,,,,,,,,,,,,,,,,,,,
