date,week,coral_ID,treatment_temp,ambient_temp,Fo_1,Fm_1,Fv/Fm_1,Fo_2,Fm_2,Fv/Fm_2,Fo_3,Fm_3,Fv/Fm_3,,,,,,,,,,,,
7/5/22,2,RIT,28,28,282,469,0.398,406,650,0.375,367,505,0.273,,,,,,,,,,,,
7/5/22,2,MAR,28,28,253,332,0.237,220,457,0.518,308,459,0.328,,,,,,,,,,,,
7/5/22,2,MAO,28,28,236,400,0.41,56,114,0.508,135,290,0.534,,,,,,,,,,,,
7/5/22,2,RIS,28,28,273,466,0.414,308,430,0.283,272,389,0.3,,,,,,,,,,,,
7/5/22,2,MAS,28,28,407,474,0.141,376,442,0.149,386,464,0.168,,,,,,,,,,,,
7/5/22,2,NCS,28,28,225,651,0.654,195,545,0.642,279,781,0.642,,,,,,,,,,,,
7/5/22,2,MAT,28,28,270,629,0.57,148,390,0.62,158,354,0.553,,,,,,,,,,,,
7/5/22,2,RIU,28,28,353,479,0.263,385,399,0.035,344,410,0.16,,,,,,,,,,,,
7/5/22,2,NCQ,28,28,192,591,0.675,251,774,0.675,199,610,0.673,,,,,,,,,,,,
7/5/22,2,RIQ,28,28,208,300,0.306,259,378,0.314,276,377,0.267,,,,,,,,,,,,
7/5/22,2,RIR,28,28,416,582,0.285,361,506,0.286,371,593,0.374,,,,,,,,,,,,
7/5/22,2,MAP,28,28,82,195,0.579,76,120,0.366,68,191,0.643,,,,,,,,,,,,
7/5/22,2,NCT,28,28,271,328,0.173,322,380,0.152,150,262,0.427,,,,,,,,,,,,
7/5/22,2,RIP,28,28,435,670,0.35,263,562,0.532,306,407,0.248,,,,,,,,,,,,
7/5/22,2,NCR,28,28,92,260,0.646,165,502,0.671,120,357,0.663,,,,,,,,,,,,
7/5/22,2,NCO,28,28,212,620,0.658,229,644,0.644,226,619,0.634,,,,,,,,,,,,
7/5/22,2,NCP,28,28,189,579,0.673,176,507,0.652,212,642,0.669,,,,,,,,,,,,
7/5/22,2,NCU,28,28,72,227,0.682,62,193,0.678,63,188,0.664,,,,,,,,,,,,
7/5/22,2,MAJ,22,22,204,240,0.15,198,247,0.198,211,479,0.559,,,,,,,,,,,,
7/5/22,2,RII,22,22,330,584,0.434,295,461,0.36,340,590,0.423,,,,,,,,,,,,
7/5/22,2,RIJ,22,22,335,466,0.281,244,355,0.312,323,432,0.252,,,,,,,,,,,,
7/5/22,2,NCI,22,22,210,593,0.645,198,597,0.668,243,644,0.622,,,,,,,,,,,,
7/5/22,2,MAL,22,22,173,398,0.565,161,377,0.572,117,311,0.623,,,,,,,,,,,,
7/5/22,2,MAK,22,22,139,203,0.315,151,221,0.316,132,231,0.428,,,,,,,,,,,,
7/5/22,2,MAI,22,22,51,97,0.474,71,165,0.569,74,174,0.574,,,,,,,,,,,,
7/5/22,2,NCM,22,22,208,620,0.664,220,642,0.657,227,703,0.677,,,,,,,,,,,,
7/5/22,2,NCL,22,22,29,53,0.452,26,64,0.593,88,191,0.539,,,,,,,,,,,,
7/5/22,2,NCH,22,22,259,663,0.609,283,718,0.605,267,705,0.621,,,,,,,,,,,,
7/5/22,2,RIL,22,22,264,343,0.23,230,263,0.125,408,615,0.336,,,,,,,,,,,,
7/5/22,2,NCJ,22,22,271,804,0.662,216,670,0.677,225,680,0.669,,,,,,,,,,,,
7/5/22,2,RIK,22,22,180,524,0.656,193,551,0.649,179,535,0.665,,,,,,,,,,,,
7/5/22,2,NCK,22,22,184,501,0.632,206,537,0.616,162,446,0.636,,,,,,,,,,,,
7/5/22,2,RIM,22,22,251,390,0.356,213,415,0.486,230,385,0.402,,,,,,,,,,,,
7/5/22,2,RIH,22,22,252,444,0.432,342,517,0.338,179,408,0.561,,,,,,,,,,,,
7/5/22,2,NCN,22,22,240,731,0.671,102,315,0.676,170,516,0.67,,,,,,,,,,,,
7/5/22,2,MAH,22,22,181,526,0.655,204,529,0.614,226,609,0.628,,,,,,,,,,,,
7/5/22,2,MAM,22,22,60,129,0.534,30,117,0.743,56,115,0.513,,,,,,,,,,,,
7/5/22,2,RIN,22,22,188,391,0.519,186,407,0.543,187,405,0.538,,,,,,,,,,,,
7/5/22,2,MAN,22,22,136,301,0.548,119,291,0.591,115,267,0.569,,,,,,,,,,,,
7/11/22,3,NCG,18,18,225,562,0.599,234,669,0.65,235,644,0.635,,,,,,,,,,,,
7/11/22,3,RIA,18,18,206,333,0.381,284,538,0.472,185,249,0.257,,,,,,,,,,,,
7/11/22,3,NCF,18,18,226,558,0.594,214,548,0.609,225,572,0.606,,,,,,,,,,,,
7/11/22,3,MAE,18,18,196,324,0.395,116,239,0.514,149,315,0.526,,,,,,,,,,,,
7/11/22,3,MAD,18,18,183,437,0.581,82,208,0.605,171,408,0.58,,,,,,,,,,,,
7/11/22,3,NCD,18,18,255,660,0.613,261,695,0.624,258,696,0.629,,,,,,,,,,,,
7/11/22,3,NCE,18,18,167,437,0.617,199,585,0.659,105,267,0.606,,,,,,,,,,,,
7/11/22,3,RIF,18,18,374,481,0.222,278,449,0.38,256,423,0.394,,,,,,,,,,,,
7/11/22,3,MAB,18,18,214,503,0.574,184,624,0.705,203,444,0.542,,,,,,,,,,,,
7/11/22,3,RIB,18,18,174,277,0.371,353,448,0.212,133,219,0.392,,,,,,,,,,,,
7/11/22,3,NCC,18,18,120,314,0.617,232,657,0.646,171,512,0.666,,,,,,,,,,,,
7/11/22,3,MAC,18,18,85,159,0.465,72,137,0.474,166,276,0.398,,,,,,,,,,,,
7/11/22,3,NIG,18,18,160,394,0.593,263,338,0.221,189,351,0.461,,,,,,,,,,,,
7/11/22,3,RIE,18,18,210,379,0.445,199,390,0.489,139,249,0.441,,,,,,,,,,,,
7/11/22,3,RIC,18,18,271,529,0.487,174,386,0.549,192,413,0.535,,,,,,,,,,,,
7/11/22,3,MAA,18,18,251,407,0.383,259,506,0.488,295,771,0.617,,,,,,,,,,,,
7/11/22,3,RIG,18,18,188,450,0.582,140,326,0.57,143,351,0.592,,,,,,,,,,,,
7/11/22,3,MAF,18,18,233,412,0.434,23,49,0.53,71,151,0.529,,,,,,,,,,,,
7/11/22,3,NCA,18,18,139,335,0.585,189,555,0.659,127,333,0.618,,,,,,,,,,,,
7/11/22,3,RID,18,18,372,530,0.298,161,273,0.41,166,266,0.375,,,,,,,,,,,,
7/11/22,3,NCB,18,18,142,379,0.625,86,257,0.665,138,436,0.683,,,,,,,,,,,,
7/11/22,3,MAZ,32,32,46,123,0.626,56,150,0.626,45,109,0.587,,,,,,,,,,,,
7/11/22,3,MAW,32,32,85,164,0.481,158,181,0.127,86,158,0.455,,,,,,,,,,,,
7/11/22,3,MAAB,32,32,38,83,0.542,22,51,0.568,28,79,0.645,,,,,,,,,,,,
7/11/22,3,MAAA,32,32,109,123,0.113,97,116,0.163,180,203,0.113,,,,,,,,,,,,
